PROGRAM NAME,COURSE CODE,WIL TYPE,Contact Name,Address,City,"22F
# of Students Placed",PAC/PLACE/CAREER
Fitness & Health Promotion ,FHT 206,Placement,Stephanie,"Jefferson Blvd, Windsor, ON N8T 3G9",Windsor,3,placement
Fitness & Health Promotion ,FHT 206,Placement,Brandon,"Malden Rd Lasalle, ON \",LaSalle,5,placement
Fitness & Health Promotion ,FHT 206,Placement,Stacey,Tecumseh Rd E,Tecumseh,,placement
Fitness & Health Promotion ,FHT 206,Placement,Alexandria,"Quality Way, Unit, Windsor, ON. N8T 3R9",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Flo,"Greenwood Plaza (Central at EC Row), Deziel Drive, Unit Windsor",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Amy,"Main Street WestKingsville, Ontario N9Y 1H8",Kingsville,,placement
Fitness & Health Promotion ,FHT 206,Placement,Mike,"B, \ McAffee St S Unit, Harrow, ON N0R 1G0",Horrow,,placement
Fitness & Health Promotion ,FHT 206,Placement,Loris,Carmichael Rd Windsor ON,Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Faith,"Talbot St E, Leamington, ON N8H 1L3",Leamington,,placement
Fitness & Health Promotion ,FHT 206,Placement,Paul,"Walker Rd, Windsor Ontario",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Janicke,"Division Road Windsor, Ontario   N8X 0A8",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,0,Kingsville,Kingsville,,placement
Fitness & Health Promotion ,FHT 206,Placement,0,Amherstburg,Amherstburg,,placement
Fitness & Health Promotion ,FHT 206,Placement,Jennifer,Memorial Dr. Windsor ON,Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Louanne,Unit Dougall Ave N8X 1T3,Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Justin,"McNorton St. Tecumseh, ON N8N 3Z7",Tecumseh,,placement
Fitness & Health Promotion ,FHT 206,Placement,Jeremy,"Tecumseh Rd E, Windsor, ON N8W 1C1",Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Christine,Talbot Rd. Windsor/9855 McHugh Street,Windsor,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Sawyer,"Erie St E, Windsor, ON N9A 3Y5",Windsor,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Robert,St. Clair College Windsor ON south Campus,Windsor,4,placement
Fitness & Health Promotion ,FHT 206,Placement,Matt,"Howard Ave, Windsor, ON N8X 3Y4",Windsor,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Joshua,"Wyandotte St E, Windsor",Windsor,1,placement
Fitness & Health Promotion ,FHT 206,Placement,Samantha,"Grand Marais Rd W, Windsor, ON N9E 1E2",Windsor,4,placement
Fitness & Health Promotion ,FHT 206,Placement,Michelle,"8th Concession Road, Maidstone, ON N0R 1K0",Maidstone,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Danielle,Sandwich St. South Amherstburg ON,Amherstburg,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Nadia,Drouillard Rd. Windsor ON,Windsor,2,placement
Fitness & Health Promotion ,FHT 206,Placement,Luis,"Tecumseh Rd. East Windsor,ON",Windsor,3,placement
Fitness & Health Promotion ,FHT 206,Placement,Toula,"Tecumseh Rd E, Windsor, ON N8X 2S",Windsor,5,placement
Fitness & Health Promotion ,FHT 206,Placement,Emily,"LaSalle, ON ",LaSalle,6,placement
Fitness & Health Promotion ,FHT 206,Placement,Jill,various sites in Windsor,Windsor,,placement
Fitness & Health Promotion ,FHT 206,Placement,Kim,Laramie St. ,Tecumseh,,placement
Fitness & Health Promotion ,FHT 206,Placement,Mat,"Forest St. Chatham , ON",Chatham,,placement
Fitness & Health Promotion ,FHT 206,Placement,Aaron,"Grand Ave. W, Chatham, ON",Chatham,,placement
Fitness & Health Promotion ,FHT 206,Placement,Sandi,"Richmond St. Chatham, ON",Chatham,,placement
,,,0,"Courthouse Lane Chatham, ON",Chatham,,placement
Mechanical Engineering Technology - Automotive Product Design,MET 1500 ,Co-op,Kiki,"Rhodes Drive | Windsor, ON, N8W 5B3 ",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Jeff,"Outer Drive, Oldcastle Ontario N9G 0C3",Oldcastle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Tyler,"Patillo Rd, Windsor, ON  N8N 2L9",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Vanessa,"Autoliv Dr, Tilbury ON N0P 2L0",Tilbury,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Inna,"Delduca Dr, Oldcastle ON N0R1L0",Oldcaste,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Shawn,"Sprucewood, Windsor ON N9C 0B3",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Jennifer,"Jutras Dr S, Windsor ON N8N 5C5 ",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Tia,"Wheelton Dr, Windsor Ontario N8W 5A7",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Judy,"Morton Dr. Windsor, ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Joe,"Central Ave, Windsor ON N8W 4J3",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Jessica,"Jutras Dr S, Windsor ON N8N 5C4",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,0,"Blackacre Dr, Maidstone ON N0R1K0 ",Maidstone,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Andrea,"Tecumseh Rd E, Windsor ON N8T 1B7",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Dave,"Devonshire Road, Windsor ON N8Y 4T6",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Heiko,"Twin Oaks Drive, Windsor ON N8N 5B8",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Roxanne,"Morton Industrial Parkway, Lasalle, ON N9J 3W2",Lasalle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Annabelle,"Seneca Rd, Leamington ON N8H5P2",Leamington,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Rebecca,Victoria Ave. North In Leamington,Leamington,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Gaurav,"Olympia Drive, Old Castle, Ontario, N0R1L0 ",Old Castle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Dave,Silver Creek Industrial Drive,Lakeshore,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Justin,"Queen’s Line , Tilbury , ON N0P 2L0",Tilbury,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Andrew,"Doty Place, Windsor Ontario N8X 2W5",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Matt,"Burke St, Oldcastle ON N9G 0B9",Old Castle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Gary,"Central Ave, Windsor ON N8W 4J5",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Italo,Rhodes Dr Unit ,Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Mike,"Patillo Road, Tecumseh ON",Tecumseh,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Mari,"Marentette Ave, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Kevin,"Riberdy Road, Windsor Ontario",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Tanya,"O'Neil Dr, Oldcastle ON",Oldcastle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Andrew,"Kautex Dr, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Sandra,"Centre Street Rodney, ON ",Rodney,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Rudy,"O'Neil Dr, Oldcastle ON N0R1L0",Old castle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Andy,"Silver Creek Industrial Dr,",Lakeshore,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Nada,"Valtec Crt, Windsor ON ",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Tara,"Twin Oaks Dr, WINDSOR",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Robert,"Pulleybank St, Oldcastle ON",Old Castle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Veronica,"Huron Church Rd. Unit Windsor, ON N9C 2L8",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Alexandra,"Moynahan Drive, Oldcastle, ON N0R 1L0",Oldcastle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Tom,"East Pike Creek Road,",Lakeshore,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Danielle,Solar Crescent,Tecumseh,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Lisa,Morton Industrial Parkway,Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Dhar," Southgate Drive, Guelph, Ontario,",Guelph,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Scott,N. Service Road E.,Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Louis,"Rhodes Dr, Suite  Windsor, Ontario",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Krystia,"Sylvestre Drive, Tecumseh ",Tecumseh,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Chris,"Deziel Dr, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Jake,"Seneca Dr, Leamington ON",Leamington,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Laura,"St Etienne Blvd, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Nathan,"Halford Drive, Oldcastle ON",Old Castle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,0,"Sprucewood Ave, Windsor, Ontario, N9C 0B3",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Anna,"Burke St., OldCastle, ON",OldCastle,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Adam,"Ouellette Ave, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Dillon,"Patillo Rd, Windsor",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Mary,"Highway 77, Leamington ON",Leamington,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Joel,"Moro Dr, Windsor ON",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Todd,"Park Ave E, CHATHAM ONTARIO",Chatham,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Phil,"Huron Church Rd Unit , WINDSOR ONTARIO ",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Mark,"Smith Industrial Dr, McGregor,",McGregor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Jeannine,"Malden Rd, Windsor ON N9C 2G4",Windsor,,
Mechanical Engineering Technology - Automotive Product Design,MET 1500,Co-op,Michael,"Munich Crt, Windsor ON N8N 5G2",Windsor,,
